GENESIS-Tabelle: 46241-06i
Anzahl der Unf‰lle nach Ortslage - Land - Monat;;;;;
Statistik der Straﬂenverkehrsunf‰lle;;;;;
Nordrhein-Westfalen;;;;;
;;Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte)
;;Ortslage;Ortslage;Ortslage;Ortslage
;;Insgesamt;innerorts;auﬂerorts (ohne Autobahnen);auf Autobahnen
;;Anzahl;Anzahl;Anzahl;Anzahl
2000;Mai;9977;6932;2210;835
2000;Juni;8880;6028;2069;783
2000;Juli;7904;5082;1890;932
2000;August;9182;6207;2143;832
2000;September;9517;6426;2220;871
2000;Oktober;9085;6083;2147;855
2000;November;8645;5875;1998;772
2000;Dezember;8485;5633;2032;820
2000;Insgesamt;103812;69524;24316;9972
1999;Januar;7481;4880;1874;727
1999;Februar;7171;4534;1818;819
1999;M‰rz;8348;5636;1910;802
1999;April;8580;5802;1944;834
1999;Mai;9650;6699;2174;777
1999;Juni;9300;6374;2164;762
1999;Juli;8545;5658;2109;778
1999;August;10271;7049;2259;963
1999;September;10363;7129;2374;860
1999;Oktober;9049;6104;2061;884
1999;November;8931;6073;2011;847
1999;Dezember;9051;6011;2158;882
1999;Insgesamt;106740;71949;24856;9935
1998;Januar;7770;5214;1933;623
1998;Februar;6747;4468;1656;623
1998;M‰rz;8224;5520;1898;806
1998;April;8115;5442;1863;810
1998;Mai;9557;6588;2237;732
1998;Juni;9018;6118;2084;816
1998;Juli;7709;5043;1937;729
1998;August;9363;6404;2221;738
1998;September;9325;6396;2095;834
1998;Oktober;9612;6471;2221;920
1998;November;8696;5748;2112;836
1998;Dezember;7999;5194;2084;721
1998;Insgesamt;102135;68606;24341;9188
1997;Januar;7090;4610;1787;693
1997;Februar;6729;4468;1567;694
1997;M‰rz;8098;5361;1897;840
1997;April;8536;5838;1937;761
1997;Mai;9220;6304;2120;796
1997;Juni;10174;7065;2233;876
1997;Juli;8511;5737;2036;738
1997;August;9519;6471;2247;801
1997;September;8842;6119;2056;667
1997;Oktober;9488;6289;2302;897
1997;November;8430;5695;1990;745
1997;Dezember;7918;5407;1866;645
1997;Insgesamt;102555;69364;24038;9153
1996;Januar;7243;4664;1848;731
1996;Februar;6550;4184;1686;680
1996;M‰rz;7269;4824;1685;760
1996;April;7762;5424;1703;635
1996;Mai;8863;6190;1906;767
1996;Juni;9682;6743;2122;817
1996;Juli;8387;5662;1987;738
1996;August;9530;6430;2258;842
1996;September;8977;6111;2104;762
1996;Oktober;9480;6446;2176;858
1996;November;9008;6101;2119;788
1996;Dezember;7806;5113;1863;830
1996;Insgesamt;100557;67892;23457;9208
1995;Januar;8016;5210;2042;764
1995;Februar;8041;5362;1876;803
1995;M‰rz;9121;5905;2250;966
1995;April;7421;4944;1787;690
1995;Mai;9921;6935;2219;767
1995;Juni;9832;6826;2232;774
1995;Juli;9463;6361;2249;853
1995;August;8932;6018;2129;785
1995;September;9596;6476;2229;891
1995;Oktober;9333;6419;2128;786
1995;November;8927;6078;2062;787
1995;Dezember;7945;5258;1812;875
1995;Insgesamt;106548;71792;25015;9741
__________
© IT.NRW, D¸sseldorf, 2023. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 21.11.2023 / 09:21:34
